BASIN,y1,y2,ychange,dist_cent,TT,HW,SF,sg_rich,TMA,TDR
EAG,2010,2014,4,0.6895712637446972,-0.2344783583875859,0.0675460568414592,1.3956373044576864e-5,0.08872670013485418,-0.22008665145512815,-0.5997127610574584
EAG,2010,2015,5,0.6497174492060143,-0.2711924332748644,0.0566823368331808,5.0308762197082135e-5,0.1517762170484631,0.012100138070350869,-0.567619683145786
EAG,2010,2016,6,0.2572326790821091,-0.14559135713965654,-0.01713063005102089,2.046068001326784e-5,-0.026960355785981438,-0.13386368675323962,-0.1613443571809432
EAG,2010,2017,7,0.7590286836195481,-0.03610717415665321,0.020334616316885157,1.2395232114326138e-5,0.06104953136077573,-0.3537388009909159,-0.6674946690059684
EAG,2010,2018,8,0.5785735779602386,-0.05795912439678175,0.07354212553091705,-6.426288339078656e-6,0.2556309088375345,-0.14543372553678863,0.4893685223503392
EAG,2010,2019,9,0.8726877367568628,-0.047306335868047444,0.1441115148272405,1.1250309013444149e-5,0.4398589150335175,-0.008935785963348052,-0.738256157600421
EAG,2010,2022,12,0.7600284929640998,-0.10901361282252076,0.08009354009181768,-1.4899562080117335e-5,0.2384769921562646,-0.10199840909386185,-0.7014765966906151
EAG,2010,2023,13,0.681632304690762,-0.1060476140351384,0.04909430253586444,9.706344879678586e-6,0.1475245449681325,-0.24408595237843356,-0.6079677690496894
EAG,2011,2012,1,0.290611560892787,0.06048800264860732,0.01630342591472722,-1.319306252711705e-5,0.044737305708787756,-0.2423443567182062,0.14070630843806364
EAG,2011,2013,2,0.570400718962796,0.07007740600678969,0.03344618991741688,3.0443480643904675e-5,0.1048974484935229,-0.5136170568217371,0.21100126316010978
EAG,2011,2014,3,0.5415857788124329,-0.19839647164910912,0.04910381357493099,-7.199404981617086e-7,-0.025356782554031176,-0.4888679601851512,-0.10912361075336025
EAG,2011,2015,4,0.3605259265335746,-0.23511054653638763,0.03824009356665259,3.563244865434356e-5,0.03769273435957776,-0.25668117065967216,-0.07703053284168798
EAG,2011,2016,5,0.5510682752755979,-0.10950947040117975,-0.0355728733175491,5.7843664705292674e-6,-0.1410438384748668,-0.40264499548326266,0.3292447931231549
EAG,2011,2017,6,0.6493404586717499,-2.5287418176422882e-5,0.0018923730503569436,-2.2810814284124348e-6,-0.05303395132810962,-0.622520109720939,-0.17690551870187032
EAG,2011,2018,7,1.0749146104015386,-0.02187723765830496,0.05509988226438883,-2.110260188181723e-5,0.14154742614864912,-0.41421503426681167,0.9799576726544372
EAG,2011,2019,8,0.5104058361656688,-0.011224449129570657,0.12566927156071228,-3.426004529294424e-6,0.32577543234463213,-0.2777170946933711,-0.24766700729632285
EAG,2011,2022,11,0.45447197860282557,-0.07293172608404397,0.06165129682528947,-2.9575875622855907e-5,0.12439350946737926,-0.37077971782388486,-0.21088744638651707
EAG,2011,2023,12,0.5326946818395876,-0.06996572729666162,0.03065205926933623,-4.969968663059987e-6,0.03344106227924715,-0.5128672611084566,-0.1173786187455913
EAG,2012,2013,1,0.28728963465339324,0.009589403358182369,0.01714276400268966,4.3636543171021724e-5,0.06016014278473514,-0.2712727001035309,0.07029495472204614
EAG,2012,2014,2,0.44294366844730965,-0.25888447429771644,0.03280038766020377,1.2473122028955341e-5,-0.07009408826281893,-0.246523603466945,-0.2498299191914239
EAG,2012,2015,3,0.36813614916474247,-0.29559854918499495,0.021936667651925368,4.882551118146061e-5,-0.007044571349209994,-0.014336813941465968,-0.21773684127975163
EAG,2012,2016,4,0.35685848757668065,-0.16999747304978707,-0.051876299232276324,1.8977428997646317e-5,-0.18578114418365455,-0.16030063876505646,0.18853848468509127
EAG,2012,2017,5,0.508762844016124,-0.06051329006678374,-0.014411052864370277,1.0911981098704615e-5,-0.09777125703689737,-0.38017575300273276,-0.31761182713993397
EAG,2012,2018,6,0.8669162470840589,-0.08236524030691228,0.03879645634966161,-7.909539354700179e-6,0.09681012043986137,-0.17187067754860547,0.8392513642163737
EAG,2012,2019,7,0.4981676982891006,-0.07171245177817798,0.10936584564598506,9.767057997822626e-6,0.2810381266358444,-0.03537273797516489,-0.3883733157343865
